receipt_code;ingredient_code;amount;sort
hot-egg-sandwich;bread;;2
hot-egg-sandwich;cheese;;3
hot-egg-sandwich;ham;;4
hot-egg-sandwich;butter;;5
hot-egg-sandwich;salt;;6
sandwich-egg-ham;bread;;2
sandwich-egg-ham;milk;;3
sandwich-egg-ham;egg;;1
sandwich-egg-ham;ham;;4
sandwich-egg-ham;butter;;5
sandwich-egg-ham;salt;;6
hot-egg-sandwich;egg;2 шт.;1
bread-triangles;lavash;3 шт.;1
bread-triangles;sausage;;2
bread-triangles;cheese;;3
bread-triangles;smetana;2 ст.л.;4
bread-triangles;egg;2 шт.;5
bread-triangles;oil;;6
bread-triangles;salt;;7
tortilla;tortilla;;1
tortilla;tomato;;2
tortilla;sausage;;3
tortilla;cheese;;4
tortilla;ketchup;;5
pancakes;sugar;3 ст.л.;3
pancakes;salt;0.5 ст.л.;4
pancakes;soda;0.5 ч.л.;6
pancakes;kefir;250 мл.;1
pancakes;flour;230 гр.;5
rice-porridge;water;500 мл.;2
rice-porridge;milk;750 мл.;3
rice-porridge;salt;0.5 ч.л.;4
rice-porridge;sugar;1.5 ст.л.;5
rice-porridge;butter;;6
draniki;potato;500 г.;1
draniki;onion;;2
draniki;egg;1 шт.;3
draniki;salt;;4
draniki;oil;;5
sandwich-tuna;egg;3 шт.;1
sandwich-tuna;cucumber;;2
sandwich-tuna;smetana;;3
sandwich-tuna;tuna;;4
fritata;egg;4 шт.;1
fritata;tomato;;2
fritata;mozzarella;100 г.;3
fritata;cheese;;4
lavash-egg-sausage;tortilla;;1
lavash-egg-sausage;sausage;;2
lavash-egg-sausage;egg;2 шт.;3
lavash-egg-sausage;cheese;;4
bliny;milk;1 стакан;1
bliny;flour;1 стакан;2
bliny;hot-water;1 стакан;3
bliny;egg;2 шт.;4
bliny;sugar;2 ст.л.;5
bliny;oil;2 ст.л.;6
bliny;salt;щепотка;7
toast-crab;egg;;1
toast-crab;crab-sticks;;2
toast-crab;tomato;;3
